id,name,family,order,genus,calories,fat,sugar,carbohydrate,protein,link,price
1,Persimmon,Ebenaceae,Rosales,Diospyros,81.0,0.0,18.0,18.0,0.0,"https://hips.hearstapps.com/hmg-prod/images/persimmon-fruit-on-old-wooden-background-top-view-royalty-free-image-1651607677.jpg?crop=0.662xw:1.00xh;0.284xw,0&resize=1200:*",50
2,Strawberry,Rosaceae,Rosales,Fragaria,29.0,0.4,5.4,5.5,0.8,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Garden_strawberry_%28Fragaria_%C3%97_ananassa%29_single2.jpg/1200px-Garden_strawberry_%28Fragaria_%C3%97_ananassa%29_single2.jpg,50
3,Banana,Musaceae,Zingiberales,Musa,96.0,0.2,17.2,22.0,1.0,https://th-thumbnailer.cdn-si-edu.com/4Nq8HbTKgX6djk07DqHqRsRuFq0=/1000x750/filters:no_upscale()/https://tf-cmsv2-smithsonianmag-media.s3.amazonaws.com/filer/d5/24/d5243019-e0fc-4b3c-8cdb-48e22f38bff2/istock-183380744.jpg,50
4,Tomato,Solanaceae,Solanales,Solanum,74.0,0.2,2.6,3.9,0.9,https://upload.wikimedia.org/wikipedia/commons/8/89/Tomato_je.jpg,50
5,Pear,Rosaceae,Rosales,Pyrus,57.0,0.1,10.0,15.0,0.4,https://upload.wikimedia.org/wikipedia/commons/c/cf/Pears.jpg,50
6,Durian,Malvaceae,Malvales,Durio,147.0,5.3,6.75,27.1,1.5,https://upload.wikimedia.org/wikipedia/commons/0/02/Durian.jpg,50
7,Blackberry,Rosaceae,Rosales,Rubus,40.0,0.4,4.5,9.0,1.3,https://upload.wikimedia.org/wikipedia/commons/7/78/Ripe%2C_ripening%2C_and_green_blackberries.jpg,50
8,Lingonberry,Ericaceae,Ericales,Vaccinium,50.0,0.34,5.74,11.3,0.75,http://cdn.shopify.com/s/files/1/0062/8532/8445/products/Lingonberry_BB_600x600_56f17681-2368-4203-9bfa-5f1bc983d967_grande.jpg?v=1644255115,50
9,Kiwi,Actinidiaceae,Struthioniformes,Apteryx,61.0,0.5,9.0,15.0,1.1,https://cdn.britannica.com/45/126445-050-4C0FA9F6/Kiwi-fruit.jpg,50
10,Lychee,Sapindaceae,Sapindales,Litchi,66.0,0.44,15.0,17.0,0.8,https://cdn.britannica.com/18/176518-050-5AB1E61D/lychee-fruits-Southeast-Asia.jpg,50
11,Pineapple,Bromeliaceae,Poales,Ananas,50.0,0.12,9.85,13.12,0.54,"https://m.media-amazon.com/images/I/71+qAJehpkL._AC_UF1000,1000_QL80_.jpg",50
12,Fig,Moraceae,Rosales,Ficus,74.0,0.3,16.0,19.0,0.8,https://cdn.britannica.com/37/82537-050-B0AC543A/figs-fig-tree.jpg,50
13,Gooseberry,Grossulariaceae,Saxifragales,Ribes,44.0,0.6,0.0,10.0,0.9,https://m.media-amazon.com/images/I/41eqZe06LLL.jpg,50
14,Passionfruit,Passifloraceae,Malpighiales,Passiflora,97.0,0.7,11.2,22.4,2.2,https://www.liveeatlearn.com/wp-content/uploads/2015/08/passion-fruit-photo-2.jpg,50
15,Plum,Rosaceae,Rosales,Prunus,46.0,0.28,9.92,11.4,0.7,https://upload.wikimedia.org/wikipedia/commons/e/ec/Plums_African_Rose_-_whole%2C_halved_and_slice.jpg,50
16,Orange,Rutaceae,Sapindales,Citrus,43.0,0.2,8.2,8.3,1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Oranges_-_whole-halved-segment.jpg/640px-Oranges_-_whole-halved-segment.jpg,50
17,GreenApple,Rosaceae,Rosales,Malus,21.0,0.1,6.4,3.1,0.4,https://healthiersteps.com/wp-content/uploads/2021/12/green-apple-benefits.jpeg,50
18,Raspberry,Rosaceae,Rosales,Rubus,53.0,0.7,4.4,12.0,1.2,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Raspberries_%28Rubus_idaeus%29.jpg/1200px-Raspberries_%28Rubus_idaeus%29.jpg,50
19,Watermelon,Cucurbitaceae,Cucurbitales,Citrullus,30.0,0.2,6.0,8.0,0.6,https://cdn.britannica.com/99/143599-050-C3289491/Watermelon.jpg,50
20,Lemon,Rutaceae,Sapindales,Citrus,29.0,0.3,2.5,9.0,1.1,https://cdn.britannica.com/84/188484-050-F27B0049/lemons-tree.jpg,50
21,Mango,Anacardiaceae,Sapindales,Mangifera,60.0,0.38,13.7,15.0,0.82,https://traicayvietflorida.com/wp-content/uploads/2021/09/mango-traicayvietflorida-scaled.jpeg,50
22,Blueberry,Rosaceae,Rosales,Fragaria,29.0,0.4,5.4,5.5,0.0,http://cdn.shopify.com/s/files/1/2336/3219/products/shutterstock_167872100blueberry1_1024x1024.jpg?v=1531795854,50
23,Apple,Rosaceae,Rosales,Malus,52.0,0.4,10.3,11.4,0.3,https://m.media-amazon.com/images/I/918YNa3bAaL.jpg,50
24,Guava,Myrtaceae,Myrtales,Psidium,68.0,1.0,9.0,14.0,2.6,https://www.shape.com/thmb/gxkgfgm-EVmPOKwpNGp3ziU8Wyo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/guava-promo-0f9f6443ec6b4b63897463ee30cfddf0.jpg,50
25,Apricot,Rosaceae,Rosales,Prunus,15.0,0.1,3.2,3.9,0.5,https://cdn.britannica.com/36/160636-050-B1DC5C0A/Laetrile-apricot-pits.jpg,50
26,Papaya,Caricaceae,Caricacea,Carica,43.0,0.4,1.0,11.0,0.0,"https://m.media-amazon.com/images/I/41+ICmJbmVL._AC_UF894,1000_QL80_.jpg",50
27,Melon,Cucurbitaceae,Cucurbitaceae,Cucumis,34.0,0.0,8.0,8.0,0.0,https://static.libertyprim.com/files/familles/melon-large.jpg?1574629891,50
28,Tangerine,Rutaceae,Sapindales,Citrus,45.0,0.4,9.1,8.3,0.0,https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/AN_images/difference-between-tangerines-oranges-1296x728.jpg?w=1155&h=1528,50
29,Pitahaya,Cactaceae,Caryophyllales,Cactaceae,36.0,0.4,3.0,7.0,1.0,https://upload.wikimedia.org/wikipedia/commons/4/43/Pitaya_cross_section_ed2.jpg,50
30,Lime,Rutaceae,Sapindales,Citrus,25.0,0.1,1.7,8.4,0.3,https://thepartysource.com/image/cache/catalog/inventory/LIME-500x500.jpg,50
31,Pomegranate,Lythraceae,Myrtales,Punica,83.0,1.2,13.7,18.7,1.7,https://images.heb.com/is/image/HEBGrocery/000886114-1,50
32,Dragonfruit,Cactaceae,Caryophyllales,Selenicereus,60.0,1.5,8.0,9.0,9.0,https://upload.wikimedia.org/wikipedia/commons/4/43/Pitaya_cross_section_ed2.jpg,50
33,Grape,Vitaceae,Vitales,Vitis,69.0,0.16,16.0,18.1,0.72,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Grapefruits_-_whole-halved-segments.jpg/800px-Grapefruits_-_whole-halved-segments.jpg,50
34,Morus,Moraceae,Rosales,Morus,43.0,0.39,8.1,9.8,1.44,https://m.media-amazon.com/images/I/7121KCML6xL.jpg,50
35,Feijoa,Myrtaceae,Myrtoideae,Sellowiana,44.0,0.4,3.0,8.0,0.6,https://upload.wikimedia.org/wikipedia/commons/0/08/Acca_sellowiana_Fruit_MHNT_Fronton.jpg,50
36,Avocado,Lauraceae,Laurales,Persea,160.0,14.66,0.66,8.53,2.0,https://domf5oio6qrcr.cloudfront.net/medialibrary/5138/h0618g16207257173805.jpg,50
37,Kiwifruit,Actinidiaceae,Ericales,Actinidia,61.0,0.5,8.9,14.6,1.14,https://cdn.britannica.com/45/126445-050-4C0FA9F6/Kiwi-fruit.jpg,50
38,Cranberry,Ericaceae,Ericales,Vaccinium,46.0,0.1,4.0,12.2,0.4,https://post.medicalnewstoday.com/wp-content/uploads/sites/3/2020/02/cranberries.jpg,50
39,Cherry,Rosaceae,Rosales,Prunus,50.0,0.3,8.0,12.0,1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cherry_season_%2848216568227%29.jpg/640px-Cherry_season_%2848216568227%29.jpg,50
40,Peach,Rosaceae,Rosales,Prunus,39.0,0.25,8.4,9.5,0.9,https://static.libertyprim.com/files/familles/peche-large.jpg?1574630286,50
